date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:02:45	79476/79476	---M-Z	200	added ('OK')	text/html	etag:%2213674-6014928a70bf4-gzip%22	https://themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/giaodienAdmin/themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html	(from )
20:02:46	282/282	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Mar%202024%2013:02:45%20GMT	https://themes.getappui.com/robots.txt		(from )
20:02:46	7659/7659	---M-Z	200	added ('OK')	text/css	etag:%221deb-6014928a546d5-gzip%22	https://themes.getappui.com/techzaa/velonic/layouts/assets/vendor/daterangepicker/daterangepicker.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/giaodienAdmin/themes.getappui.com/techzaa/velonic/layouts/assets/vendor/daterangepicker/daterangepicker.css	(from https://themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html)
20:02:46	692/692	---M-Z	200	added ('OK')	text/css	etag:%222b4-6014928a47bb5-gzip%22	https://themes.getappui.com/techzaa/velonic/layouts/assets/vendor/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/giaodienAdmin/themes.getappui.com/techzaa/velonic/layouts/assets/vendor/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	(from https://themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html)
20:02:46	102140/102140	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%2218efc-6014928a36275%22	https://themes.getappui.com/techzaa/velonic/layouts/assets/images/favicon.ico	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/giaodienAdmin/themes.getappui.com/techzaa/velonic/layouts/assets/images/favicon.ico	(from https://themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html)
20:02:46	1937/1937	---M-Z	200	added ('OK')	text/javascript	etag:%22791-6014928a45c75-gzip%22	https://themes.getappui.com/techzaa/velonic/layouts/assets/js/config.js	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/giaodienAdmin/themes.getappui.com/techzaa/velonic/layouts/assets/js/config.js	(from https://themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html)
20:02:47	425084/425084	---M-Z	200	added ('OK')	text/css	etag:%2267c7c-6014928a21a55-gzip%22	https://themes.getappui.com/techzaa/velonic/layouts/assets/css/app.min.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/giaodienAdmin/themes.getappui.com/techzaa/velonic/layouts/assets/css/app.min.css	(from https://themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html)
20:02:47	91363/91363	---M-Z	200	added ('OK')	text/html	etag:%22164e3-6014928a70bf4-gzip%22	https://themes.getappui.com/techzaa/velonic/layouts/index.html	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/giaodienAdmin/themes.getappui.com/techzaa/velonic/layouts/index.html	(from https://themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html)
20:02:47	525913/525913	---MCZ	200	added ('OK')	text/css	etag:%2280659-6014928a229f5-gzip%22	https://themes.getappui.com/techzaa/velonic/layouts/assets/css/icons.min.css	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/giaodienAdmin/themes.getappui.com/techzaa/velonic/layouts/assets/css/icons.min.css	(from https://themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html)
20:02:48	1836/1836	---M--	200	added ('OK')	image/png	etag:%2272c-6014928a36275%22	https://themes.getappui.com/techzaa/velonic/layouts/assets/images/logo.png	E:/FPT_polytechnic/13.D%e1%bb%b1%20%c3%a1n%201/giaodienAdmin/themes.getappui.com/techzaa/velonic/layouts/assets/images/logo.png	(from https://themes.getappui.com/techzaa/velonic/layouts/layouts-horizontal.html)
